trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_repetitive_0011,0,repetitive,-13.287256156465025,-13.27826492775377,0.0,3.3374825200753016,3.3672150501916,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0012,0,repetitive,-12.559750574515395,-12.557396107024472,0.0,3.782710405384668,3.7692204807244156,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0013,0,repetitive,-11.694526999268952,-11.72213867255775,0.0,3.7144866230318065,3.7378743508279157,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0014,0,repetitive,-17.989212854283004,-18.037103662447645,0.0,2.4277959995296214,2.5218017668977595,0.0,0.8666666666666667,0.8666666666666667,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0015,0,repetitive,-17.65073559218503,-17.659830789631936,0.0,2.16884465229316,2.264187061083195,0.0,0.9666666666666667,0.9666666666666667,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0016,0,repetitive,-13.74454100493512,-13.71794133680419,0.0,3.932239466774984,3.9878713806490502,0.0,1.05,1.05,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0017,0,repetitive,-18.51229005572347,-18.558031358522545,0.0,2.3332502652318006,2.4227399166585997,0.0,0.85,0.85,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0018,0,repetitive,-11.417553883454866,-11.439112074797476,0.0,3.643412261880858,3.6512297477482676,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0019,0,repetitive,-12.656983175388204,-12.66309908782371,0.0,3.368596047412602,3.318016955749588,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0020,0,repetitive,-11.969095063509357,-11.986372161269678,0.0,3.1161984623543457,3.1426271893783166,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0021,0,repetitive,-13.628271840283956,-13.630741584094698,0.0,3.1291002530465803,3.0650133349297253,0.0,1.0833333333333333,1.0833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0022,0,repetitive,-17.676648224791418,-17.718664950638992,0.0,2.167226898011826,2.313346067675166,0.0,0.9833333333333333,0.9833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0023,0,repetitive,-13.915153087368948,-13.918667810862368,0.0,3.9676924014941246,3.9609231494135972,0.0,1.05,1.05,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0024,0,repetitive,-18.012815437793538,-18.039747254506068,0.0,2.281035544051143,2.3767189633959696,0.0,0.8666666666666667,0.8666666666666667,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0025,0,repetitive,-12.490204864161823,-12.487981228065838,0.0,3.913893935103408,3.924530310517717,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0026,0,repetitive,-18.04386316454151,-18.04688607890651,0.0,2.0304973807949125,1.9895343402230488,0.0,0.8666666666666667,0.8666666666666667,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0027,0,repetitive,-12.059468172973597,-12.065333754903795,0.0,4.264916104479193,4.241251647781109,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0028,0,repetitive,-18.384866965535466,-18.40533379081688,0.0,2.749181037861028,2.8868314024038533,0.0,0.85,0.85,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0029,0,repetitive,-13.367565523307551,-13.359497244727775,0.0,3.940861562966443,3.8884783596940515,0.0,1.15,1.15,0.0,0,0,0,0,0.0,0.0
