trace_id,seed,condition,pattern_label,config_hash,tempo_req,tempo_eff,tempo_req_oob,tempo_eff_oob,tempo_clamped,tempo_delta,gain_req,gain_eff,gain_req_oob,gain_eff_oob,gain_clamped,gain_delta,gain_unit,accent_req,accent_eff,accent_req_oob,accent_eff_oob,accent_clamped,accent_delta,accent_pct_req,accent_pct_eff,integrated_lufs,lra_lu,onset_density_eps,peak_lufs,audio_path,session_report_path
stress_highrate_009,0,baseline,sequential,,140,140,,,0,0,-1.2483790306394973,-1.2483790306394973,,,0,0.0,linear,0.6298493838430071,0.6298493838430071,,,0,0.0,62.98493838430071,62.98493838430071,-10.768349886426524,3.939190826379196,1.1833333333333333,-9.042728586995116,runs\baseline\stress_highrate_009\0\audio.wav,
stress_longstreak_000,0,baseline,repetitive,,140,140,,,0,0,-4.121858816453393,-4.121858816453393,,,0,0.0,linear,0.5403884041654947,0.5403884041654947,,,0,0.0,54.03884041654947,54.03884041654947,-12.431024252511067,3.421460067921032,1.1833333333333333,-10.848977894139928,runs\baseline\stress_longstreak_000\0\audio.wav,
stress_longstreak_001,0,baseline,repetitive,,138,138,,,0,0,-5.101834224158699,-5.101834224158699,,,0,0.0,linear,0.4673262770363453,0.4673262770363453,,,0,0.0,46.73262770363453,46.73262770363453,-13.414531104428484,2.9185244014366774,1.1666666666666667,-12.016145244361212,runs\baseline\stress_longstreak_001\0\audio.wav,
stress_longstreak_002,0,baseline,repetitive,,140,140,,,0,0,-4.136991386612568,-4.136991386612568,,,0,0.0,linear,0.630926130099256,0.630926130099256,,,0,0.0,63.0926130099256,63.0926130099256,-12.374570743643352,3.9201834660804664,1.1833333333333333,-10.632752373120566,runs\baseline\stress_longstreak_002\0\audio.wav,
stress_longstreak_003,0,baseline,repetitive,,140,140,,,0,0,-3.340814748994056,-3.340814748994056,,,0,0.0,linear,0.5820610687022827,0.5820610687022827,,,0,0.0,58.20610687022827,58.20610687022827,-11.606034173651757,3.650849937077508,1.1833333333333333,-9.933564150398299,runs\baseline\stress_longstreak_003\0\audio.wav,
stress_longstreak_004,0,baseline,repetitive,,140,140,,,0,0,-4.632938633224083,-4.632938633224083,,,0,0.0,linear,0.6403348155898627,0.6403348155898627,,,0,0.0,64.03348155898627,64.03348155898627,-12.864232749278658,3.986520687549543,1.1833333333333333,-11.127636181210738,runs\baseline\stress_longstreak_004\0\audio.wav,
batch_exploratory_0000,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-3.7062252374558398,-3.7062252374558398,0.0,0.0,0,0.0,linear,0.584522003034866,0.5,1.0,0.0,1,-0.08452200303486601,58.4522003034866,50.0,-11.974034004460167,2.7024767405461745,1.3166666666666667,-10.456935936104546,runs\constrained_default\batch_exploratory_0000\0\audio.wav,runs\constrained_default\batch_exploratory_0000\0\sessionReport.json
batch_exploratory_0001,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-3.8174196562937897,-3.8174196562937897,0.0,0.0,0,0.0,linear,0.6356612184249683,0.5,1.0,0.0,1,-0.13566121842496826,63.56612184249683,50.0,-12.08522842264076,2.702476720883297,1.3166666666666667,-10.568130362675786,runs\constrained_default\batch_exploratory_0001\0\audio.wav,runs\constrained_default\batch_exploratory_0001\0\sessionReport.json
batch_exploratory_0002,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-4.444220622962566,-4.444220622962566,0.0,0.0,0,0.0,linear,0.6147798742137347,0.5,1.0,0.0,1,-0.1147798742137347,61.47798742137347,50.0,-12.712029390600863,2.702476726021823,1.3166666666666667,-11.194931326248252,runs\constrained_default\batch_exploratory_0002\0\audio.wav,runs\constrained_default\batch_exploratory_0002\0\sessionReport.json
batch_exploratory_0003,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,139,130,1.0,0.0,1,-9,-5.345754200624045,-5.345754200624045,0.0,0.0,0,0.0,linear,0.529902642559164,0.5,1.0,0.0,1,-0.029902642559163972,52.9902642559164,50.0,-13.613562968273175,2.7024767237154492,1.3166666666666667,-12.096464904134159,runs\constrained_default\batch_exploratory_0003\0\audio.wav,runs\constrained_default\batch_exploratory_0003\0\sessionReport.json
