trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_exploratory_0040,0,exploratory,-11.598364195452037,-13.768630431025516,-2.1702662355734788,4.138238420433108,0.85652250715383,-3.281715913279278,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.9506119435149545,-0.5528846153845948
batch_exploratory_0041,0,exploratory,-13.461843703811676,-13.768630431025516,-0.30678672721384004,3.3677766206004414,0.85652250715383,-2.5112541134466113,1.4166666666666667,1.3,-0.1166666666666667,1,1,1,-12,-0.1028457733799506,-0.46520742608301424
batch_exploratory_0042,0,exploratory,-12.080483024508066,-13.768630431025516,-1.6881474065174498,3.817639484716649,0.85652250715383,-2.9611169775628188,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.5089074639107047,-0.48357857563271367
batch_exploratory_0043,0,exploratory,-13.171897649466684,-13.768630431025516,-0.5967327815588312,4.073913319911924,0.85652250715383,-3.2173908127580937,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.3734912790610432,-0.5419346670042936
batch_exploratory_0044,0,exploratory,-13.052329056961401,-13.768630431025516,-0.7163013740641144,3.519662932151496,0.85652250715383,-2.663140424997666,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.5590747321544738,-0.4455915599095799
batch_exploratory_0045,0,exploratory,-13.84030446316174,-14.24653564095744,-0.40623117779569995,2.89128093322873,0.856522506245966,-2.034758426982764,1.3,1.3,0.0,0,0,1,0,0.0,-0.46195060694850787
batch_exploratory_0046,0,exploratory,-11.478986682011254,-13.768630431025516,-2.289643749014262,4.091180585907839,0.85652250715383,-3.234658078754009,1.45,1.3,-0.1499999999999999,1,1,1,-14,-2.0367709108616805,-0.5357024793388018
batch_exploratory_0047,0,exploratory,-14.007208981240124,-14.455422846449164,-0.4482138652090395,3.2540812963550145,0.8567617827056218,-2.3973195136493928,1.2833333333333334,1.2833333333333334,0.0,1,0,1,2,0.0,-0.4860379669320334
batch_exploratory_0048,0,exploratory,-11.78295490683062,-13.768630431025516,-1.985675524194896,3.9322254627362145,0.85652250715383,-3.0757029555823845,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.7813572157933324,-0.5130714943234275
batch_exploratory_0049,0,exploratory,-18.05584874884632,-18.634219955048817,-0.5783712062024975,2.1199650350266133,0.7166065278579126,-1.4033585071687007,1.1,1.2833333333333334,0.18333333333333335,1,0,1,16,0.0,-0.43490464195752176
batch_exploratory_0050,0,exploratory,-13.67961332065971,-14.038686999251736,-0.35907367859202566,3.045959148817449,0.8565225024241219,-2.189436646393327,1.3166666666666667,1.3,-0.016666666666666607,1,0,1,-4,0.0,-0.4379623621025278
batch_exploratory_0051,0,exploratory,-13.43876153446229,-13.768630431025516,-0.3298688965632248,3.2483078108519656,0.85652250715383,-2.3917853036981356,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.20951997796858013,-0.41003627569528245
