trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_repetitive_0022,0,repetitive,-17.676648224791418,-17.826564031190877,-0.14991580639945923,2.167226898011826,1.9986062518694432,-0.16862064614238292,0.9833333333333333,1.0,0.01666666666666672,1,0,1,4,0.0,-0.09247104247104965
batch_repetitive_0023,0,repetitive,-13.915153087368948,-14.103700717957318,-0.18854763058837065,3.9676924014941246,3.1519869698957486,-0.815705431598376,1.05,1.05,0.0,0,0,1,0,0.0,-0.17891211690682696
batch_repetitive_0024,0,repetitive,-18.012815437793538,-18.188085955438655,-0.17527051764511725,2.281035544051143,2.003815130598923,-0.2772204134522198,0.8666666666666667,1.0,0.1333333333333333,1,0,1,19,0.0,-0.07870837537840603
batch_repetitive_0025,0,repetitive,-12.490204864161823,-12.420464189653808,0.06974067450801513,3.913893935103408,3.1598779900321468,-0.7540159450712611,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.12798264642080526
batch_repetitive_0026,0,repetitive,-18.04386316454151,-18.080591376260678,-0.03672821171916851,2.0304973807949125,1.9245616992981027,-0.10593568149680976,0.8666666666666667,1.0,0.1333333333333333,1,0,0,19,0.0,0.0
batch_repetitive_0027,0,repetitive,-12.059468172973597,-12.06606625979781,-0.006598086824212146,4.264916104479193,3.1552516496193554,-1.1096644548598373,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.2156370085723055
batch_repetitive_0028,0,repetitive,-18.384866965535466,-18.73260476118589,-0.3477377956504242,2.749181037861028,1.9827723449801624,-0.7664086928808658,0.85,1.0,0.15000000000000002,1,0,1,20,0.0,-0.22423270728357203
batch_repetitive_0029,0,repetitive,-13.367565523307551,-13.462006309878848,-0.09444078657129751,3.940861562966443,3.1552516418979994,-0.7856099210684437,1.15,1.0833333333333333,-0.06666666666666665,1,0,1,-6,0.0,-0.18713185319437686
batch_repetitive_0030,0,repetitive,-12.170028047258244,-12.038699718109815,0.1313283291484293,3.6021801550328867,3.158460205383001,-0.4437199496498856,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.0739207569485365
batch_repetitive_0031,0,repetitive,-11.006516333033836,-10.949567038673594,0.05694929436024232,4.018535249213542,3.154632832925161,-0.863902416288381,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.1460890915468901
